nome_variacao_original,ocorrencias,acao_recomendada,destino_sugerido,tipo_sugerido,nome_canonico_sugerido,variacao_a_adicionar,observacao,confianca
Univ Alberta,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Alberta,Univ Alberta,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Natl Taiwan Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,National Taiwan University,Natl Taiwan Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sao Paulo State Univ UNESP,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sao Paulo State University UNESP,Sao Paulo State Univ UNESP,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Teknol Malaysia,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Teknol Malaysia,Univ Teknol Malaysia,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Calif Berkeley,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Calif Berkeley,Univ Calif Berkeley,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Saveetha Inst Med & Tech Sci,,revisar_manualmente,revisao_manual,Indefinido,Saveetha Institute Med & Technology Science,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Univ Missouri,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Missouri,Univ Missouri,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Lincoln,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Lincoln,Univ Lincoln,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Southeast Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Southeast University,Southeast Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Selcuk Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Selcuk University,Selcuk Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Montpellier,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Montpellier,Univ Montpellier,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
North Dakota State Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,North Dakota State University,North Dakota State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sun Yat Sen Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sun Yat Sen University,Sun Yat Sen Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sichuan Agr Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sichuan Agricultural University,Sichuan Agr Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Chandigarh Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Chandigarh University,Chandigarh Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
United Arab Emirates Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,United Arab Emirates University,United Arab Emirates Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Thapar Inst Engn & Technol,,revisar_manualmente,revisao_manual,Indefinido,Thapar Institute Engineering & Technology,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Northeastern Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Northeastern University,Northeastern Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Bidhan Chandra Krishi Viswavidyalaya,,revisar_manualmente,revisao_manual,Indefinido,Bidhan Chandra Krishi Viswavidyalaya,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Acad Sci & Innovat Res AcSIR,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Acad Science & Innovat Research AcSIR,Acad Sci & Innovat Res AcSIR,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Univ Western Australia,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Western Australia,Univ Western Australia,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Arizona,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Arizona,Univ Arizona,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Tech Univ Munich,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Technology University Munich,Tech Univ Munich,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Rwanda,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Rwanda,Univ Rwanda,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ British Columbia,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University British Columbia,Univ British Columbia,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
RMIT Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,RMIT University,RMIT Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Pisa,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Pisa,Univ Pisa,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Bologna,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Bologna,Univ Bologna,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sapienza Univ Rome,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sapienza University Rome,Sapienza Univ Rome,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Natl Tech Univ Athens,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,National Technology University Athens,Natl Tech Univ Athens,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Zhejiang A&F Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Zhejiang A&F University,Zhejiang A&F Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Adelaide,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Adelaide,Univ Adelaide,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Louisiana State Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Louisiana State University,Louisiana State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Novi Sad,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Novi Sad,Univ Novi Sad,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Cent South Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Cent South University,Cent South Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
CSIR,,revisar_manualmente,revisao_manual,Indefinido,CSIR,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Univ Porto,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Porto,Univ Porto,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Fed Lavras,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Federal Lavras,Univ Fed Lavras,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Qingdao Agr Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Qingdao Agricultural University,Qingdao Agr Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Ankara Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Ankara University,Ankara Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sunchon Natl Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sunchon National University,Sunchon Natl Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Thessaly,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Thessaly,Univ Thessaly,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Henan Agr Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Henan Agricultural University,Henan Agr Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Sains Malaysia,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Sains Malaysia,Univ Sains Malaysia,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Jilin Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Jilin University,Jilin Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Politecn Madrid,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Politécnica Madrid,Univ Politecn Madrid,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Leicester,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Leicester,Univ Leicester,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Huazhong Univ Sci & Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Huazhong University Science & Technology,Huazhong Univ Sci & Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Charles Sturt Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Charles Sturt University,Charles Sturt Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Multimedia Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Multimedia University,Multimedia Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
